reference,launched,make,models,concern,vehicles,rewrites_caught,page
R/2026/134,2026-04-14,"Daimler Truck","Fuso 3S13, Fuso 3C15 and Fuso 7C18","SRC2601 – SRC260317",28,0,https://carsmultiverse.com/uk-recall/r-2026-134/
R/2026/149,2026-04-13,Ford,Mustang,"25SA7 - Mustang - Powertrain Control Module Software Update",6,0,https://carsmultiverse.com/uk-recall/r-2026-149/
R/2026/142,2026-04-13,Peugeot,"5008 V3","Cooling spray nozzle potentially missing",24,0,https://carsmultiverse.com/uk-recall/r-2026-142/
R/2026/156,2026-04-09,Citroen,Spacetourer,"Speed Limitation – BCM software",6,0,https://carsmultiverse.com/uk-recall/r-2026-156/
R/2026/153,2026-04-09,Seat,"Cupra Born","Battery check",1886,0,https://carsmultiverse.com/uk-recall/r-2026-153/
R/2026/088,2026-04-07,Ford,"Tourneo Courier and Transit Courier","Transit Courier - Instrument Panel defect Affecting Passenger Airbag Operation",29,0,https://carsmultiverse.com/uk-recall/r-2026-088/
R/2026/031,2026-04-07,Ford,E-Transit,"25SD9 - E-Transit – Halfshaft Retention Force",9319,0,https://carsmultiverse.com/uk-recall/r-2026-031/
R/2026/145,2026-04-06,"Bmw Motorrad","S1000R, R1300R / RT, F900R / GS and 5 more","Renewing complete multi-function switch on left handlebar",26,0,https://carsmultiverse.com/uk-recall/r-2026-145/
R/2026/114,2026-04-06,Jeep,"Avenger Mhev","Fuel particulate filter pressure pipe",4966,0,https://carsmultiverse.com/uk-recall/r-2026-114/
R/2026/093,2026-04-06,Hyundai,I10,"The vehicle fuel pump may have an internal malfunction which may fail over time.",13610,0,https://carsmultiverse.com/uk-recall/r-2026-093/
R/2026/120,2026-04-04,"Mercedes-Benz Vans",Citan,"Replace clutch assembly",397,0,https://carsmultiverse.com/uk-recall/r-2026-120/
R/2026/147,2026-04-02,Hyundai,Tucson,"Some vehicles may have an instrument cluster operational concern whilst driving the vehicle",3227,0,https://carsmultiverse.com/uk-recall/r-2026-147/
R/2026/146,2026-04-02,Hyundai,"Ioniq 5, Kona SX2, Santa FE and 1 more","Some vehicles may have an instrument cluster operational concern whilst driving the vehicle",3450,0,https://carsmultiverse.com/uk-recall/r-2026-146/
R/2026/116,2026-04-01,Ford,"Transit Courier","Transit Courier: Diesel DV-Neo Engine Coolant Pump Update",773,0,https://carsmultiverse.com/uk-recall/r-2026-116/
R/2026/095,2026-04-01,"Nissan (Gb)",NV400,"Nv400 X62 AdBlue Dosing Inactive",1116,0,https://carsmultiverse.com/uk-recall/r-2026-095/
R/2026/115,2026-03-31,"Land Rover",Defender,"Defender Third Row Lower Seat Belt Anchorage Bracket",982,0,https://carsmultiverse.com/uk-recall/r-2026-115/
R/2026/056,2026-03-31,"Daimler Buses Gmbh","Tourismo, Setra S531DT and Citaro","MDEG/HDEP Euro VI standard NOx sensor monitoring inoperative",832,0,https://carsmultiverse.com/uk-recall/r-2026-056/
R/2026/122,2026-03-30,Citroen,"C3 and C3 Aircross","Alarm triggered randomly - BCM software",10342,0,https://carsmultiverse.com/uk-recall/r-2026-122/
R/2024/478,2026-03-30,"Mclaren Automotive",765LT,"McLaren 765LT polycarbonate tailgate recall",52,0,https://carsmultiverse.com/uk-recall/r-2024-478/
R/2026/127,2026-03-27,Ford,Ranger,"Ranger: 10R80 Transmission Oil Pump Gears Software Update",455,0,https://carsmultiverse.com/uk-recall/r-2026-127/
R/2026/137,2026-03-26,Ford,Transit,"26S20 Transit - Lower Arm Rear Bolt Replacement",4,0,https://carsmultiverse.com/uk-recall/r-2026-137/
R/2026/105,2026-03-23,Rolls-Royce,"Cullinan and Black Badge Cullinan","RR31 Rear Seat Belt Bolt Connection Check",35,0,https://carsmultiverse.com/uk-recall/r-2026-105/
R/2025/554,2026-03-23,"Honda Motorcycles","CBR650RACR and CBR650RAR","Winker Wiring Harness Short Circuit",814,0,https://carsmultiverse.com/uk-recall/r-2025-554/
R/2026/136,2026-03-20,Dodge,"Dakota, Challenger and Charger","Passenger airbag inflator",1,0,https://carsmultiverse.com/uk-recall/r-2026-136/
R/2026/135,2026-03-20,Jeep,Wrangler,"Passenger airbag inflator",1281,0,https://carsmultiverse.com/uk-recall/r-2026-135/
R/2026/133,2026-03-20,Ram,"2500, 3500, 3500 CAB Chassis and 2 more","Passenger airbag inflator",1,0,https://carsmultiverse.com/uk-recall/r-2026-133/
R/2026/132,2026-03-20,Dodge,"Dakota, Durango, Charger and 1 more","Passenger airbag inflator",1,0,https://carsmultiverse.com/uk-recall/r-2026-132/
R/2026/131,2026-03-20,Chrysler,"Chrysler Aspen, Chrysler 300 and Chrysler 300C","Passenger airbag inflator",81,0,https://carsmultiverse.com/uk-recall/r-2026-131/
R/2026/130,2026-03-20,Jeep,Wrangler,"Passenger airbag inflator",1821,0,https://carsmultiverse.com/uk-recall/r-2026-130/
R/2026/129,2026-03-20,Chrysler,"Chrysler Aspen, Chrysler 300 and Chrysler 300C","Driver airbag inflator",9496,0,https://carsmultiverse.com/uk-recall/r-2026-129/
R/2026/126,2026-03-20,Ram,"1500, 2500, 3500 and 3 more","Passenger airbag inflator",1,0,https://carsmultiverse.com/uk-recall/r-2026-126/
R/2026/125,2026-03-20,Dodge,"Dakota, Durango, Charger and 2 more","Passenger airbag inflator",1,0,https://carsmultiverse.com/uk-recall/r-2026-125/
R/2026/124,2026-03-20,Ram,"1500, 2500, 3500 and 4 more","Driver airbag inflator",1,0,https://carsmultiverse.com/uk-recall/r-2026-124/
R/2026/063,2026-03-20,"Man Truck And Bus","TGL, TGX, TGS and 1 more","9027TRen TGA TGL TGM TGS TGX eTGS eTGX hTGX Truck chassis: Replace affected drag links and/or track rods.",395,0,https://carsmultiverse.com/uk-recall/r-2026-063/
R/2026/113,2026-03-18,"Alfa Romeo","Junior Mhev","Alternator Protection",1573,0,https://carsmultiverse.com/uk-recall/r-2026-113/
R/2026/111,2026-03-18,Ford,Focus,"25C75 Focus - Lane Centering Assist Software Update",3,0,https://carsmultiverse.com/uk-recall/r-2026-111/
R/2026/092,2026-03-17,Bmw,"5 Series Saloon, 5 Series Touring, 7 Series Saloon and 3 more","Checking and re-securing the air-conditioning wiring harness",10832,0,https://carsmultiverse.com/uk-recall/r-2026-092/
R/2026/109,2026-03-16,Peugeot,"Rifter, Partner and Expert","Water Pump Pulley",2483,0,https://carsmultiverse.com/uk-recall/r-2026-109/
R/2026/027,2026-03-16,"Toyota (Gb)",Prius,"Relay and Wire Harness installation on certain Prius",2235,0,https://carsmultiverse.com/uk-recall/r-2026-027/
R/2026/110,2026-03-13,Citroen,"Berlingo and Dispatch","Water Pump Pulley",1132,0,https://carsmultiverse.com/uk-recall/r-2026-110/
R/2026/107,2026-03-13,Vauxhall,"Combo and Vivaro","Water pump pulley",3651,0,https://carsmultiverse.com/uk-recall/r-2026-107/
R/2026/100,2026-03-13,Ford,"Tourneo Courier and Transit Courier","26S16 - Transit and Tourneo Courier – Handbrake cable slippage",237,0,https://carsmultiverse.com/uk-recall/r-2026-100/
R/2026/150,2026-03-12,Vw,"ID.3 and ID Buzz","Battery Check",9465,0,https://carsmultiverse.com/uk-recall/r-2026-150/
R/2026/103,2026-03-12,Renault,"Megane IV","Error in Handbook for Operation of Window Lock",5126,0,https://carsmultiverse.com/uk-recall/r-2026-103/
R/2026/104,2026-03-11,Vw,Beetle,"USA Imported vehicle Recall Driver side airbag module replacement",4,0,https://carsmultiverse.com/uk-recall/r-2026-104/
R/2026/101,2026-03-11,"Volvo Trucks","FE and FL","M0399 UDS pump replace (wave 4). FL/FE (3)",12,0,https://carsmultiverse.com/uk-recall/r-2026-101/
R/2026/068,2026-03-10,Citroen,"C3 V5","Power Steering Wiring Harness.",676,0,https://carsmultiverse.com/uk-recall/r-2026-068/
R/2026/102,2026-03-09,Ds,"DS3 Crossback","Alternator protection",132,0,https://carsmultiverse.com/uk-recall/r-2026-102/
R/2026/073,2026-03-09,Citroen,"C3, C3 Aircross, C4 and 1 more","Alternator protection",5240,0,https://carsmultiverse.com/uk-recall/r-2026-073/
R/2026/072,2026-03-09,Vauxhall,"Corsa, Mokka and Frontera","Alternator protection",4479,0,https://carsmultiverse.com/uk-recall/r-2026-072/
R/2026/071,2026-03-09,Peugeot,"208 and 2008","Alternator protection",19116,0,https://carsmultiverse.com/uk-recall/r-2026-071/
R/2026/035,2026-03-09,Yamaha,LCG125,"TSI2026-01 FRONT BRAKE CALIPER MALFUNCTIONING",1643,0,https://carsmultiverse.com/uk-recall/r-2026-035/
R/2026/081,2026-03-06,"Man Truck And Bus",TGX,"9040TR TGM TGS TGX The tyres may be manufactured incorrectly. Michelin",2,0,https://carsmultiverse.com/uk-recall/r-2026-081/
R/2026/052,2026-03-06,Jaguar,I-Pace,"2019 to 2021 Model Year Jaguar I-PACE Battery Fire or Smoke",16291,0,https://carsmultiverse.com/uk-recall/r-2026-052/
R/2025/545,2026-03-06,Vauxhall,Frontera,"SLI disconnection to server “Here” not monitored.",101,0,https://carsmultiverse.com/uk-recall/r-2025-545/
R/2026/096,2026-03-04,Renault,Clio,"Front lower arm Bolts",43,0,https://carsmultiverse.com/uk-recall/r-2026-096/
R/2026/069,2026-03-02,"Omoda And Jaecoo","Jaecoo 7 ICE","Jaecoo 7 ICE (T1EJ) - Wiring Harness Interference Issue",7317,0,https://carsmultiverse.com/uk-recall/r-2026-069/
R/2026/060,2026-03-02,Jeep,Wrangler,"2018-2022 Jeep Wrangler Check Engine Malfunction Indicator Lamp Incorrect operation and warning",1450,0,https://carsmultiverse.com/uk-recall/r-2026-060/
R/2026/054,2026-03-02,Bmw,"X3, X4, X5 and 9 more","Replace the Engine Starter Motor",51053,0,https://carsmultiverse.com/uk-recall/r-2026-054/
R/2026/032,2026-02-27,Ford,Transit,"25SC5 Transit Automatic Transmission Wiring Damage",1408,0,https://carsmultiverse.com/uk-recall/r-2026-032/
R/2026/089,2026-02-25,Audi,"TT, R8 and Ttrs","Replacing Takata driver airbag",21352,0,https://carsmultiverse.com/uk-recall/r-2026-089/
R/2026/082,2026-02-24,Ford,"Capri and Explorer","26S06 Capri Explorer - Torque Inspection On Various Joints",27,0,https://carsmultiverse.com/uk-recall/r-2026-082/
R/2026/226,2026-02-23,Auto-Sleepers,"Benivan B122, Benivan 144 and Benivan 161","LGTV 201 Pop-Up Spoiler Fixing",18,0,https://carsmultiverse.com/uk-recall/r-2026-226/
R/2026/087,2026-02-21,"Renault Trucks","T High / T","C0507 – IRMU & EMC FILTER REPLACE",29,0,https://carsmultiverse.com/uk-recall/r-2026-087/
R/2026/083,2026-02-20,Skoda,Kodiaq,"Seat backrest frame cover",3572,0,https://carsmultiverse.com/uk-recall/r-2026-083/
R/2026/077,2026-02-20,"Triumph Motorcycles","Bonneville T100, Bonneville T120, Bonneville T120 Black and 7 more","Removal of alternator to main harness connector",4030,0,https://carsmultiverse.com/uk-recall/r-2026-077/
R/2026/080,2026-02-19,"Bucher Municipal","V-Range Road Sweeper","Hopper Rear Door Cylinder Pin",1271,0,https://carsmultiverse.com/uk-recall/r-2026-080/
R/2026/074,2026-02-18,Ducati,"Panigale V4 and Streetfighter V4","CR311 Replacement of rigid duct for rear brake hose",433,0,https://carsmultiverse.com/uk-recall/r-2026-074/
R/2026/061,2026-02-17,"Rapido Sas","Rapido and Dreamer","Vans circuit brake pipe",362,0,https://carsmultiverse.com/uk-recall/r-2026-061/
R/2026/070,2026-02-16,"Volvo Bus","B8L(3) and B8R(3)","Engine Management System (EMS) software Update",972,0,https://carsmultiverse.com/uk-recall/r-2026-070/
R/2026/041,2026-02-16,"Fiat Chrysler","Doblo and Scudo","Fiat Professional 2025 Doblo and Scudo. Fuel injection common rail. Fuel leak",276,0,https://carsmultiverse.com/uk-recall/r-2026-041/
R/2026/036,2026-02-16,"Toyota (Gb)","Proace MAX","Potential defect on fuel return pipes on certain Toyota Proace Max",26,0,https://carsmultiverse.com/uk-recall/r-2026-036/
R/2026/034,2026-02-16,"Toyota (Gb)",Supra,"RWT (reinforced water tightness) starter on Toyota 4-cylinder GR Supra",803,0,https://carsmultiverse.com/uk-recall/r-2026-034/
R/2026/029,2026-02-16,Jeep,"Wrangler and Grand Cherokee","2020-2025 Jeep Wrangler and 2022-2026 Jeep Grand Cherokee PHEV vehicles. High voltage battery.",259,0,https://carsmultiverse.com/uk-recall/r-2026-029/
R/2026/025,2026-02-16,Honda,Civic,"Civic Wheel Steel Bushes Missing (Accessory)",46152,0,https://carsmultiverse.com/uk-recall/r-2026-025/
R/2026/067,2026-02-13,"Volvo Bus",B13R,"Emergency open door warning software Update",8,0,https://carsmultiverse.com/uk-recall/r-2026-067/
R/2026/065,2026-02-13,Ford,Mach-E,"25C84 Mach-E - SYNC Software Update",9,0,https://carsmultiverse.com/uk-recall/r-2026-065/
R/2026/064,2026-02-13,Ford,Puma,"25C81 Puma - Instrument Panel Cluster Software Update",6,0,https://carsmultiverse.com/uk-recall/r-2026-064/
R/2026/059,2026-02-13,Ford,Focus,"25C77 Focus Telematics Control Unit Software Update",49,0,https://carsmultiverse.com/uk-recall/r-2026-059/
R/2026/044,2026-02-13,"Fiat Chrysler",Ducato,"Fiat Professional 2025/2026 Ducato (290/295). Fuel pipe leak",680,0,https://carsmultiverse.com/uk-recall/r-2026-044/
R/2026/033,2026-02-13,"Fiat Chrysler","Doblo and Scudo","Fiat Professional Scudo and Doblo. IVI software via OTA update.",2194,0,https://carsmultiverse.com/uk-recall/r-2026-033/
R/2026/026,2026-02-13,"Alfa Romeo","Giulia QV","Alfa Romeo Giulia cable (wiring harness) branch",109,0,https://carsmultiverse.com/uk-recall/r-2026-026/
R/2026/090,2026-02-12,"Harley Davidson",RH1250S,"SPORTSTER S UPPER TRIPLE CLAMP AND RECALL",958,0,https://carsmultiverse.com/uk-recall/r-2026-090/
R/2026/066,2026-02-12,"Zf Cvs Turkey","Lemförder Steering ROD Assemblies","Steering Road Assemblies",102,0,https://carsmultiverse.com/uk-recall/r-2026-066/
R/2026/024,2026-02-12,Ford,Transit,"25C62 - Transit – Double Chassis Side Marker Lamps Missing",94,0,https://carsmultiverse.com/uk-recall/r-2026-024/
R/2025/491,2026-02-11,"Land Rover","Range Rover and Range Rover Sport","Range Rover and Range Rover Sport Samsung PHEV Battery Cell Degradation",33,0,https://carsmultiverse.com/uk-recall/r-2025-491/
R/2026/043,2026-02-10,"Volvo Car",EX30,"Seat Recliner",1493,0,https://carsmultiverse.com/uk-recall/r-2026-043/
R/2026/023,2026-02-10,"Nissan (Gb)",Primastar,"Primastar X82 Tyre Configuration",373,0,https://carsmultiverse.com/uk-recall/r-2026-023/
R/2026/048,2026-02-06,Ford,Transit,"25C80 Transit - Body Control Module Software Update",4,0,https://carsmultiverse.com/uk-recall/r-2026-048/
R/2026/047,2026-02-06,Ford,Ecosport,"25C76 EcoSport - Powertrain Control Module Software Update",4,0,https://carsmultiverse.com/uk-recall/r-2026-047/
R/2026/039,2026-02-06,Ford,Puma,"25SF3 Puma Restraint Control Module Software",598,0,https://carsmultiverse.com/uk-recall/r-2026-039/
R/2026/038,2026-02-05,Ford,Mustang,"25C83 Mustang - Powertrain Control Module Software Update",2,0,https://carsmultiverse.com/uk-recall/r-2026-038/
R/2026/040,2026-02-04,Cupra,Born,"High-voltage modules replacement",2,0,https://carsmultiverse.com/uk-recall/r-2026-040/
R/2026/028,2026-02-03,Ford,"Transit Courier","25C78 Transit Courier Tourneo Courier - Audio Front Control Module Software",2,0,https://carsmultiverse.com/uk-recall/r-2026-028/
R/2026/013,2026-02-03,"Omoda And Jaecoo","Omoda E5, Omoda 5 and Omoda 5 HEV","Potential Loosening of Wheel Hub Nut",35479,0,https://carsmultiverse.com/uk-recall/r-2026-013/
R/2026/058,2026-02-02,Citroen,"C3 V5","Citroen C3 Front Camera Software versions update.",1180,0,https://carsmultiverse.com/uk-recall/r-2026-058/
R/2026/017,2026-02-02,"Toyota (Gb)","Proace and Proace City","Potential defect of fuel supply rail on certain Toyota Proace and Proace City",910,0,https://carsmultiverse.com/uk-recall/r-2026-017/
R/2026/051,2026-01-30,Citroen,Relay,"Citroen Relay Fuel Pipe Leak",557,0,https://carsmultiverse.com/uk-recall/r-2026-051/
R/2026/050,2026-01-30,Peugeot,Boxer,"Peugeot Boxer Fuel Pipe Leak",651,0,https://carsmultiverse.com/uk-recall/r-2026-050/
R/2026/049,2026-01-30,Vauxhall,Movano,"Vauxhall Movano Fuel Pipe Leak",560,0,https://carsmultiverse.com/uk-recall/r-2026-049/
R/2026/018,2026-01-30,Ford,"Transit Custom and Transit","25SE6 – Transit and Transit Custom – 12V Battery Venting",147340,0,https://carsmultiverse.com/uk-recall/r-2026-018/
R/2026/045,2026-01-29,Peugeot,3008,"Peugeot 3008 Wheel Bolt Tightening.",3,0,https://carsmultiverse.com/uk-recall/r-2026-045/
R/2026/011,2026-01-26,"Man Truck And Bus","TGS and TGX","TGS TGX with Euro 6c engine D2676LF. Renew the lower main bearing shells",260,0,https://carsmultiverse.com/uk-recall/r-2026-011/
R/2025/512,2026-01-26,"Nissan (Gb)","Interstar (XDD) and Interstar (XDE)","Interstar (XDD/XDE) Accelerator Pedal",2399,0,https://carsmultiverse.com/uk-recall/r-2025-512/
R/2026/037,2026-01-22,"Volvo Trucks","FH and FM","M0387 Silencer particulate filter insert gasket replace",43,0,https://carsmultiverse.com/uk-recall/r-2026-037/
R/2025/559,2026-01-22,"Volvo Car","EX30CC and EX30","HV Battery",10578,0,https://carsmultiverse.com/uk-recall/r-2025-559/
R/2026/021,2026-01-21,Citroen,"C5 Aircross, Berlingo and Dispatch","Citroen Cross carline Fuel injection common rail.",6195,0,https://carsmultiverse.com/uk-recall/r-2026-021/
R/2026/020,2026-01-21,Peugeot,"Rifter, Partner, Expert and 1 more","Peugeot Cross carline Fuel Injection common rail.",1711,0,https://carsmultiverse.com/uk-recall/r-2026-020/
R/2026/019,2026-01-21,Vauxhall,"Combo and Vivaro","Vauxhall Cross carline Fuel Injection common rail",498,0,https://carsmultiverse.com/uk-recall/r-2026-019/
R/2025/547,2026-01-21,"Daimler Truck","Actros 963 and Eactros 983","SRL251215 – VER-RADBLE",29,0,https://carsmultiverse.com/uk-recall/r-2025-547/
R/2025/448,2026-01-21,"Honda Motorcycles","CB1000S and CB1000SPS","Gear Change Pedal Bolt",980,0,https://carsmultiverse.com/uk-recall/r-2025-448/
R/2026/012,2026-01-20,Honda,"ENY 1","23-24M e:Ny1 Combination Meter Total Mileage Display Malfunction",5892,0,https://carsmultiverse.com/uk-recall/r-2026-012/
R/2025/546,2026-01-19,"Honda Motorcycles","CB1000S, CB1000SPS and CBR600RR","High Oil Consumption",2041,0,https://carsmultiverse.com/uk-recall/r-2025-546/
R/2025/534,2026-01-19,Mercedes-Benz,E-Class,"SRPC2521 – Routing of transmission wiring harness",5,0,https://carsmultiverse.com/uk-recall/r-2025-534/
R/2025/464,2026-01-19,Genesis,GV60,"The vehicle windscreen upper moulding may partially detach",2102,0,https://carsmultiverse.com/uk-recall/r-2025-464/
R/2026/015,2026-01-16,Porsche,"Taycan Turbo GT","ASB1 Recall campaign - Check wiring harness of the front seats and rework if necessary",34,0,https://carsmultiverse.com/uk-recall/r-2026-015/
R/2025/526,2026-01-13,Bentley,"Bentayga Hybrid","Bentley Bentayga Hybrid – Software Update For HV Battery Management Controller (RE25/46 RD74)",104,0,https://carsmultiverse.com/uk-recall/r-2025-526/
R/2025/552,2026-01-12,"Toyota (Gb)","Proace City, Proace City EV, Proace City Verso EV and 3 more","In-Vehicle Infotainment ECU software update via OTA on certain Toyota Proace and Proace City",10573,0,https://carsmultiverse.com/uk-recall/r-2025-552/
R/2025/327,2026-01-12,Bmw,"1 Series 3 Door Hatch, 1 Series Coupe, X3 and 7 more","Replace the Driver’s Airbag – Takata PSDI-5",370257,0,https://carsmultiverse.com/uk-recall/r-2025-327/
R/2025/252,2026-01-12,"Land Rover","Range Rover Evoque","Land Rover Range Rover Evoque Inappropriate Passenger Airbag Deployment",48997,0,https://carsmultiverse.com/uk-recall/r-2025-252/
R/2026/010,2026-01-09,"Renault Trucks","T High","C0500 – IRMU Replace",10,0,https://carsmultiverse.com/uk-recall/r-2026-010/
R/2025/541,2026-01-08,"Man Truck And Bus","TGS and TGX","TGS TGX with Euro 6c engine D2676LF: Renewing the lower main-bearing shells.",411,0,https://carsmultiverse.com/uk-recall/r-2025-541/
R/2025/540,2026-01-08,"Man Truck And Bus","TGS and TGX","TGS TGX with Euro 6c engine D2676LF: Customers who originally rejected measures 8235TW 8236TW or 8626TW are requested to have the lower main bearing shells renewed.",246,0,https://carsmultiverse.com/uk-recall/r-2025-540/
R/2025/533,2026-01-06,Mercedes-Benz,CLA,"Bolting of front seats and belt buckles",22,0,https://carsmultiverse.com/uk-recall/r-2025-533/
R/2025/556,2026-01-05,Mercedes-Benz,CLA,"SRPC2523 - Variant of 48V Wiring Harness",82,0,https://carsmultiverse.com/uk-recall/r-2025-556/
