reference,launched,make,models,concern,vehicles,rewrites_caught,page
R/2026/042,2026-04-22,"Bridgestone Nv/Sa","Bridgestone Duravis R 660 ECO 215/65R16C 109/107T","Bridgestone Duravis Eco R660 16'' Tyre Recall",278439,0,https://carsmultiverse.com/uk-recall/r-2026-042/
R/2026/175,2026-04-21,Ds,"DS4 V2","VSM software missing AEB telltale in case of blind camera.",181,0,https://carsmultiverse.com/uk-recall/r-2026-175/
R/2025/544,2026-04-21,Vauxhall,"Astra L","VSM software missing AEB telltale in case of blind camera.",3270,0,https://carsmultiverse.com/uk-recall/r-2025-544/
R/2025/543,2026-04-21,Citroen,C5X,"VSM software missing AEB telltale in case of blind camera.",101,0,https://carsmultiverse.com/uk-recall/r-2025-543/
R/2025/542,2026-04-21,Peugeot,"308 V3, 408, 3008 V3 and 1 more","VSM software missing AEB telltale in case of blind camera.",3708,0,https://carsmultiverse.com/uk-recall/r-2025-542/
R/2026/166,2026-04-20,Bond,"195/60 R15 (88H) Rovelo ALL Weather R4S","Rovelo All Weather 4RS tyres - displaying incorrect directional marking",108,0,https://carsmultiverse.com/uk-recall/r-2026-166/
R/2026/158,2026-04-20,Citroen,"C5 Aircross","Body Height sensor",5,0,https://carsmultiverse.com/uk-recall/r-2026-158/
R/2026/097,2026-04-20,"Toyota (Gb)",Highlander,"2nd Seat Spring Replacement on Highlander",17338,0,https://carsmultiverse.com/uk-recall/r-2026-097/
R/2026/187,2026-04-17,"Renault Trucks","D Range","C0544 Rear Axle Hub nut replace",2,0,https://carsmultiverse.com/uk-recall/r-2026-187/
R/2026/168,2026-04-17,Audi,"Q8 E-Tron","Checking brake servo",11327,0,https://carsmultiverse.com/uk-recall/r-2026-168/
R/2026/186,2026-04-16,"Harley Davidson","Flhc, Fxbb, Fxlrs and 1 more","2025 AND 2026 SOFTAIL REAR BRAKELINE",647,0,https://carsmultiverse.com/uk-recall/r-2026-186/
R/2026/163,2026-04-16,"Goodyear S.A.","255/35ZR20 : 2224 3625 3725 and 305/30ZR21 : 2324 3525 3625 3725","Goodyear Eagle F1 Supersport 255/35ZR20 97Y & 305/30ZR21 104Y",56,0,https://carsmultiverse.com/uk-recall/r-2026-163/
R/2026/179,2026-04-15,Iveco,Eurocargo,"MCV MY24: VEHICLE WITH IC AEBS STEP1 AND 5G0 PERFORMED",106,0,https://carsmultiverse.com/uk-recall/r-2026-179/
R/2026/157,2026-04-15,"Scania Bus","K360CB4X2NI CL3 and K410CB6X2*4NI 13.7 CL3","Check the cable routing next to the battery on ScaniaTouring",196,0,https://carsmultiverse.com/uk-recall/r-2026-157/
R/2026/154,2026-04-15,"Brp Can-Am","Can-Am Origin","Potential Fatigue Failure of Front Brake Caliper Support - Loss of Front Braking",11,0,https://carsmultiverse.com/uk-recall/r-2026-154/
R/2026/098,2026-04-15,Mercedes-Benz,"A Class","SRPC2601 - Interior Door Handle Release",19,0,https://carsmultiverse.com/uk-recall/r-2026-098/
R/2026/176,2026-04-14,Iveco,Eurocargo,"MCV MY24: VEHICLES WITH AEBS IC STEP1 AND IMPROVED ADAS PERFORMANCE",84,0,https://carsmultiverse.com/uk-recall/r-2026-176/
